date,city,temperature_celsius,relative_humidity_pct,heat_index_celsius
2005-11-18,Gilgit,-2.9499999999999993,20.88,-2.9499999999999993
2005-11-19,Gilgit,0.16000000000000014,16.83,0.16000000000000014
2005-11-20,Gilgit,2.4299999999999997,20.4,2.4299999999999997
2005-11-21,Gilgit,5.23,32.17,5.23
2005-11-22,Gilgit,3.1500000000000004,58.95,3.1500000000000004
2005-11-23,Gilgit,0.34999999999999964,63.03,0.34999999999999964
2005-11-24,Gilgit,-0.8599999999999994,56.34,-0.8599999999999994
2005-11-25,Gilgit,4.63,41.92,4.63
2005-11-26,Gilgit,6.84,69.53,6.84
2005-11-27,Gilgit,6.92,76.68,6.92
2005-11-28,Gilgit,4.73,82.88,4.73
2005-11-29,Gilgit,3.74,75.13,3.74
2005-11-30,Gilgit,3.34,65.32,3.34
2005-12-01,Gilgit,0.5099999999999998,66.16,0.5099999999999998
2005-12-02,Gilgit,-4.09,64.34,-4.09
2005-12-03,Gilgit,-1.1999999999999993,52.78,-1.1999999999999993
2005-12-04,Gilgit,-3.8499999999999996,55.47,-3.8499999999999996
2005-12-05,Gilgit,-1.67,44.77,-1.67
2005-12-06,Gilgit,-4.18,44.82,-4.18
2005-12-07,Gilgit,-3.42,39.94,-3.42
2005-12-08,Gilgit,-2.8200000000000003,37.83,-2.8200000000000003
2005-12-09,Gilgit,-0.6099999999999994,48.49,-0.6099999999999994
2005-12-10,Gilgit,-7.16,39.09,-7.16
2005-12-11,Gilgit,-7.109999999999999,26.89,-7.109999999999999
2005-12-12,Gilgit,-5.629999999999999,25.28,-5.629999999999999
2005-12-13,Gilgit,-5.370000000000001,24.57,-5.370000000000001
2005-12-14,Gilgit,-5.25,23.5,-5.25
2005-12-15,Gilgit,-4.550000000000001,25.35,-4.550000000000001
2005-12-16,Gilgit,-3.26,26.82,-3.26
2005-12-17,Gilgit,-3.2799999999999994,33.02,-3.2799999999999994
2005-12-18,Gilgit,-3.92,40.73,-3.92
2005-12-19,Gilgit,-3.8200000000000003,37.48,-3.8200000000000003
2005-12-20,Gilgit,1.5500000000000007,31.35,1.5500000000000007
2005-12-21,Gilgit,3.7699999999999996,56.64,3.7699999999999996
2005-12-22,Gilgit,0.8599999999999994,79.63,0.8599999999999994
2005-12-23,Gilgit,-2.58,64.18,-2.58
2005-12-24,Gilgit,-2.9000000000000004,54.08,-2.9000000000000004
2005-12-25,Gilgit,0.33999999999999986,35.99,0.33999999999999986
2005-12-26,Gilgit,4.75,40.03,4.75
2005-12-27,Gilgit,7.37,82.97,7.37
2005-12-28,Gilgit,5.73,68.71,5.73
2005-12-29,Gilgit,2.119999999999999,81.56,2.119999999999999
2005-12-30,Gilgit,0.8699999999999992,78.14,0.8699999999999992
2005-12-31,Gilgit,2.4700000000000006,77.7,2.4700000000000006
2006-01-01,Gilgit,4.3,83.43,4.3
2006-01-02,Gilgit,4.61,76.67,4.61
2006-01-03,Gilgit,0.10999999999999943,72.99,0.10999999999999943
2006-01-04,Gilgit,-3.630000000000001,66.97,-3.630000000000001
2006-01-05,Gilgit,-4.91,58.8,-4.91
2006-01-06,Gilgit,-7.199999999999999,45.41,-7.199999999999999
2006-01-07,Gilgit,-8.43,32.9,-8.43
2006-01-08,Gilgit,-4.629999999999999,30.01,-4.629999999999999
2006-01-09,Gilgit,0.4299999999999997,51.69,0.4299999999999997
2006-01-10,Gilgit,4.12,83.56,4.12
2006-01-11,Gilgit,2.5,87.66,2.5
2006-01-12,Gilgit,-0.3000000000000007,76.24,-0.3000000000000007
2006-01-13,Gilgit,0.34999999999999964,75.25,0.34999999999999964
2006-01-14,Gilgit,2.5999999999999996,80.2,2.5999999999999996
2006-01-15,Gilgit,6.6,86.6,6.6
2006-01-16,Gilgit,9.47,79.27,9.47
2006-01-17,Gilgit,6.39,75.12,6.39
2006-01-18,Gilgit,2.76,72.8,2.76
2006-01-19,Gilgit,-1.8399999999999999,75.49,-1.8399999999999999
2006-01-20,Gilgit,-0.6500000000000004,72.8,-0.6500000000000004
2006-01-21,Gilgit,-1.75,73.13,-1.75
2006-01-22,Gilgit,-0.5199999999999996,72.65,-0.5199999999999996
2006-01-23,Gilgit,-0.23000000000000043,78.1,-0.23000000000000043
2006-01-24,Gilgit,-4.050000000000001,58.21,-4.050000000000001
2006-01-25,Gilgit,-4.41,60.05,-4.41
2006-01-26,Gilgit,-4.029999999999999,58.64,-4.029999999999999
2006-01-27,Gilgit,1.42,79.04,1.42
2006-01-28,Gilgit,6.13,85.48,6.13
2006-01-29,Gilgit,8.629999999999999,79.06,8.629999999999999
2006-01-30,Gilgit,8.28,78.87,8.28
2006-01-31,Gilgit,8.98,68.55,8.98
2006-02-01,Gilgit,7.08,79.82,7.08
2006-02-02,Gilgit,5.24,72.66,5.24
2006-02-03,Gilgit,2.3000000000000007,74.02,2.3000000000000007
2006-02-04,Gilgit,-0.5,63.53,-0.5
2006-02-05,Gilgit,2.880000000000001,42.59,2.880000000000001
2006-02-06,Gilgit,7.1,42.32,7.1
2006-02-07,Gilgit,5.42,77.57,5.42
2006-02-08,Gilgit,3.8099999999999996,78.28,3.8099999999999996
2006-02-09,Gilgit,1.0399999999999991,63.59,1.0399999999999991
2006-02-10,Gilgit,4.29,44.79,4.29
2006-02-11,Gilgit,9.15,60.27,9.15
2006-02-12,Gilgit,10.05,82.67,10.05
2006-02-13,Gilgit,10.379999999999999,81.53,10.379999999999999
2006-02-14,Gilgit,9.59,91.45,9.59
2006-02-15,Gilgit,9.04,87.9,9.04
2006-02-16,Gilgit,6.43,83.66,6.43
2006-02-17,Gilgit,8.65,80.99,8.65
2006-02-18,Gilgit,10.67,83.08,10.67
2006-02-19,Gilgit,10.47,86.72,10.47
2006-02-20,Gilgit,8.91,77.48,8.91
2006-02-21,Gilgit,7.42,78.99,7.42
2006-02-22,Gilgit,8.21,84.17,8.21
2006-02-23,Gilgit,8.83,82.19,8.83
2006-02-24,Gilgit,8.18,87.45,8.18
2006-02-25,Gilgit,10.35,88.14,10.35
2006-02-26,Gilgit,9.11,85.29,9.11
2006-02-27,Gilgit,3.71,79.6,3.71
2006-02-28,Gilgit,1.6500000000000004,54.59,1.6500000000000004
2006-03-01,Gilgit,3.01,42.68,3.01
2006-03-02,Gilgit,5.54,46.72,5.54
2006-03-03,Gilgit,4.16,64.07,4.16
2006-03-04,Gilgit,5.9,67.81,5.9
2006-03-05,Gilgit,5.48,85.84,5.48
2006-03-06,Gilgit,6.19,79.93,6.19
2006-03-07,Gilgit,7.34,81.66,7.34
2006-03-08,Gilgit,5.84,82.03,5.84
2006-03-09,Gilgit,6.32,74.51,6.32
2006-03-10,Gilgit,3.0600000000000005,68.3,3.0600000000000005
2006-03-11,Gilgit,1.5899999999999999,36.21,1.5899999999999999
2006-03-12,Gilgit,2.09,26.93,2.09
2006-03-13,Gilgit,5.41,37.57,5.41
2006-03-14,Gilgit,6.46,73.16,6.46
2006-03-15,Gilgit,7.93,75.63,7.93
2006-03-16,Gilgit,6.45,79.06,6.45
2006-03-17,Gilgit,4.78,73.31,4.78
